cota cotb p flp localx localy pT hittime PID
1.94097 193.92519 0.00240 0 30.16500 3.63074 0.00056 0.15443 22
0.87853 96.75092 0.00078 0 -29.38653 -7.87959 0.00064 -0.03125 22
-0.44958 12.25926 0.00051 0 -30.87197 4.30502 0.00018 0.62845 22
0.02985 600.17863 0.00241 0 30.14000 2.08549 0.00221 1.41026 11
-6.71439 86.46765 0.00790 0 -22.76232 -19.89744 0.00332 1.40520 11
-0.60032 146.69445 0.00828 0 -25.53929 -17.16763 0.00828 1.19265 11
-0.65206 297.12101 0.00097 0 13.48493 -27.06472 0.00061 0.02319 22
-0.62347 40.08526 0.00193 0 -2.12608 -30.16500 0.00166 1.38545 11
-0.93830 51.74258 0.00193 0 -22.00834 20.65141 0.00166 1.33964 11
-0.75422 57.74106 0.00193 0 0.68210 30.16500 0.00166 1.68268 11
12.38293 55.94136 0.00193 0 -0.56291 30.14000 0.00166 1.34748 11
1.62170 187.64052 0.00193 0 -14.68415 -26.56799 0.00166 1.38678 11
-0.52709 62.23225 0.00193 0 -6.53854 30.16500 0.00166 1.40901 11
-6.10737 49.29783 0.00031 0 -2.84678 -30.15444 0.00012 0.88582 22
-0.21937 30.38179 0.00438 0 13.67091 26.98769 0.00175 0.14616 11
0.75809 49.18304 0.00389 0 -30.16500 1.42678 0.00383 0.58812 11
0.23374 158.72945 0.00389 0 3.54030 30.16500 0.00383 2.13138 11
-0.52029 1.27463 0.00320 0 23.39823 -19.29682 0.00305 1.62598 11
-0.64077 48.68524 0.00349 0 30.16500 -3.21610 0.00063 1.28302 11
-0.21823 57.81372 0.00213 0 4.17812 -30.16500 0.00180 1.27182 11
0.16133 58.98889 0.00181 0 10.82303 -28.16731 0.00070 0.60042 22
-0.38744 564.86033 0.00178 0 -22.34165 20.31810 0.00045 1.27212 11
0.31429 633.63966 0.00178 0 -1.91706 30.14000 0.00045 1.19670 11
-0.61337 98.14088 0.00178 0 18.88648 -24.82732 0.00045 1.11712 11
1.57852 323.32268 0.00178 0 -26.21947 15.46313 0.00045 1.61440 11
-2.93159 227.15487 0.00184 0 26.49177 -14.86815 0.00104 0.47040 11
-2.59431 1687.12752 0.00145 0 30.15263 -2.37927 0.00145 1.51756 11
-0.11607 60.43141 0.00404 0 -25.90851 -16.27626 0.00309 1.10804 11
0.88301 69.57020 0.00404 0 29.93388 -6.55816 0.00309 1.18491 11
-0.14011 10.38965 0.00589 0 -10.86910 -28.14823 0.00571 0.42754 11
0.31561 13.78069 0.00589 0 -26.28372 -15.37043 0.00571 0.42873 11
-9.63945 12.17077 0.00589 0 -22.76777 19.89198 0.00571 0.42742 11
0.02627 12.48809 0.00589 0 -20.33603 -22.32372 0.00571 0.42777 11
0.46408 12.98177 0.00589 0 -27.22680 -13.09362 0.00571 0.42736 11
0.49550 10.02623 0.00589 0 -1.83457 30.16500 0.00571 0.46843 11
0.82220 14.28754 0.00589 0 30.16500 4.08291 0.00571 0.42818 11
-0.19280 16.51368 0.00589 0 16.41638 26.24337 0.00571 0.43101 11
-1.47815 10.78058 0.00589 0 11.21288 -28.00583 0.00571 0.42799 11
3.00225 9.15283 0.00589 0 -30.16500 2.73195 0.00571 0.42810 11
5.16554 10.69346 0.00589 0 -26.32203 15.27795 0.00571 0.42830 11
-3.28910 10.98531 0.00589 0 19.49123 -23.16852 0.00571 0.42818 11
-0.30594 26.07840 0.00153 0 24.56368 -18.08338 0.00147 1.12396 11
0.04743 11.59192 0.00589 0 18.90391 23.75585 0.00571 0.42848 11
-0.32822 11.85817 0.00589 0 -8.22343 -29.24410 0.00571 0.42845 11
0.88184 38.80711 0.00589 0 -30.30359 5.66560 0.00571 0.43080 11
-6.81651 17.79527 0.00589 0 15.26355 -26.32799 0.00571 0.42789 11
0.09754 11.54343 0.00589 0 20.17092 22.48883 0.00571 0.42771 11
-0.54565 10.51170 0.00589 0 -4.42557 -30.16500 0.00571 0.42924 11
1.50393 45.68982 0.00164 0 -4.82986 -30.64977 0.00162 1.16743 11
-0.46714 13.04912 0.00589 0 -6.00365 -30.16357 0.00571 0.43026 11
1.31526 11.06640 0.00589 0 30.16500 -3.99205 0.00571 0.42918 11
2.44205 22.76367 0.00154 0 30.17435 -3.53313 0.00153 0.54145 11
0.20093 10.80510 0.00589 0 -21.68429 -20.97546 0.00571 0.42754 11
0.20526 41.54881 0.00167 0 -17.57285 -25.08690 0.00165 0.60149 11
0.25143 11.23639 0.00589 0 24.34552 18.31423 0.00571 0.43023 11
7.54844 322.48528 0.00025 0 -27.70195 -11.95156 0.00019 0.34942 22
0.96210 11.29792 0.00914 0 16.22090 26.43885 0.00874 0.72414 -11
0.43723 23.60171 0.00914 0 -30.16500 -8.14152 0.00874 0.94428 -11
-0.51117 115.10133 0.00097 0 23.07333 -19.60009 0.00080 0.34163 22
3.50564 10.68015 0.00051 0 28.86371 -9.11901 0.00031 0.52698 22
-1.38945 80.18851 0.00139 0 -9.08817 28.88592 0.00040 -0.05334 22
1.35926 80.38724 0.00320 0 -30.16500 1.87071 0.00147 -0.04831 11
0.15127 466.37728 0.00051 0 19.72337 -22.95118 0.00025 0.54821 22
-0.69657 7.11072 0.02897 0 10.93463 -28.12109 0.01438 0.08624 -11
0.54096 7.35123 0.02897 0 18.44534 24.21442 0.01438 0.08788 -11
-0.94306 6.57542 0.02897 0 17.71956 -25.31068 0.01438 0.09096 -11
0.07504 7.01962 0.02897 0 4.75913 30.67907 0.01438 0.09223 -11
-1.10171 7.92639 0.02897 0 -18.35261 25.04846 0.01438 0.09218 -11
-3.89240 7.52166 0.02897 0 27.02919 -13.57071 0.01438 0.08647 -11
3.29273 7.37701 0.02897 0 30.16500 3.43954 0.01438 0.08729 -11
5.29421 7.24582 0.02897 0 -30.16500 2.94325 0.01438 0.08707 -11
5.63826 7.45831 0.02897 0 30.16500 2.76222 0.01438 0.08695 -11
-3.47815 9.09752 0.02897 0 -26.56829 14.68343 0.01438 0.08751 -11
-0.82827 6.57422 0.02897 0 18.44103 -25.01183 0.01438 0.09217 -11
0.33775 6.97608 0.02897 0 16.85953 25.80022 0.01438 0.09047 -11
-0.06543 6.80841 0.02897 0 3.34329 30.16500 0.01438 0.08728 -11
-1.13502 7.36134 0.02897 0 18.32539 -24.33436 0.01438 0.08794 -11
4.96459 7.66965 0.02897 0 30.16500 0.84296 0.01438 0.08621 -11
-1.36233 8.85804 0.02897 0 18.55218 -24.10757 0.01438 0.08773 -11
-0.79439 7.11468 0.02897 0 -15.28363 26.31967 0.01438 0.08795 -11
5.31405 6.65903 0.02897 0 30.16500 0.39565 0.01438 0.08607 -11
1.70254 6.69989 0.02897 0 27.75207 11.82553 0.01438 0.08618 -11
2.94296 6.58594 0.02897 0 30.16500 5.87507 0.01438 0.08981 -11
3.13313 7.40340 0.02897 0 30.16500 5.76116 0.01438 0.08981 -11
-0.58398 6.13731 0.02897 0 -10.19361 28.42803 0.01438 0.08637 -11
-0.10235 6.50211 0.02897 0 3.49072 30.16500 0.01438 0.08735 -11
0.34372 255.82235 0.00191 0 3.49874 30.16500 0.00031 0.12269 11
-0.28920 897.49710 0.00066 0 -17.05009 25.57701 0.00033 -0.04726 22
-0.01627 142.27497 0.00261 0 7.67227 29.47240 0.00117 1.14310 11
-2.79986 69.21522 0.00471 0 -18.48565 24.99335 0.00078 1.40401 11
0.25313 194.44363 0.00301 0 -21.76358 20.89617 0.00087 1.20334 -11
0.28233 468.25747 0.00051 0 18.18738 24.43702 0.00043 0.47701 22
0.08537 7.25332 0.01195 0 -13.72638 -26.96471 0.01187 2.02030 -11
-2.31906 8.39136 0.01195 0 29.69693 -7.13021 0.01187 0.91638 -11
-1.62945 5.56230 0.01195 0 -30.16500 -6.72424 0.01187 1.52101 -11
-0.37252 48.74850 0.00298 0 -30.16500 -6.62519 0.00295 2.10844 11
-0.23174 91.96385 0.01195 0 21.18983 21.46992 0.01187 0.82411 -11
0.88954 8.21711 0.01195 0 -30.16500 -4.28443 0.01187 1.47971 -11
-0.14202 6.33990 0.01195 0 -14.21362 -26.76289 0.01187 0.94987 -11
1.84983 5.54113 0.01195 0 -30.16500 -1.45622 0.01187 0.97925 -11
0.47357 7.46610 0.01195 0 -3.39608 30.16500 0.01187 1.76452 -11
-1.95941 47.39096 0.01195 0 20.79554 21.86421 0.01187 0.87278 -11
-0.66821 5.80003 0.01195 0 1.72948 -30.16500 0.01187 1.17123 -11
0.00799 11.92407 0.01195 0 19.23379 23.42596 0.01187 0.91926 -11
-1.48885 5.77744 0.01195 0 -15.10268 26.39462 0.01187 1.40521 -11
0.00872 5.24761 0.01195 0 13.33208 -27.12803 0.01187 1.07763 -11
-2.28576 6.23821 0.01195 0 -20.37616 22.28359 0.01187 1.09347 -11
-1.03474 20.97361 0.00818 0 8.12755 -29.28382 0.00551 0.00832 11
1.50903 14.94800 0.00818 0 -30.16500 -1.93048 0.00551 0.00347 11
-1.56108 11.09213 0.00818 0 28.99451 -8.82600 0.00551 -0.01379 11
-1.19916 13.92168 0.00818 0 -15.64668 26.16929 0.00551 -0.00389 11
-0.58571 15.35082 0.00818 0 5.98837 -30.16500 0.00551 -0.00339 11
35.39356 10.15127 0.00818 0 30.73178 -4.63187 0.00551 -0.01014 11
-3.31501 196.55992 0.00165 0 28.95667 -8.91736 0.00114 0.80691 11
-2.06713 9.20328 0.00818 0 -20.36351 22.29625 0.00551 -0.00569 11
-0.38927 15.28678 0.00818 0 1.50680 30.16500 0.00551 0.00219 11
-0.30174 58.28493 0.00818 0 16.29320 26.36655 0.00551 0.29254 11
-1.35895 11.73192 0.00818 0 -26.41397 16.24578 0.00551 -0.00682 11
0.25472 11.09317 0.00818 0 13.01109 -27.26099 0.00551 0.04745 11
4.67752 35.41872 0.00818 0 -30.60584 4.93590 0.00551 0.00446 11
0.26136 16.73226 0.00818 0 21.30696 21.35279 0.00551 0.00776 11
0.88825 11.22208 0.00818 0 -27.87102 -11.53834 0.00551 -0.00220 11
2.24412 15.35273 0.00818 0 -30.16500 -2.44433 0.00551 -0.00335 11
0.70495 11.54529 0.00818 0 -25.36143 -17.59703 0.00551 0.00564 11
1.33193 9.46062 0.00818 0 -26.39503 -15.10170 0.00551 -0.00372 11
1.29855 12.60190 0.00818 0 28.99010 8.83664 0.00551 -0.00361 11
-0.00847 12.60169 0.00818 0 4.70547 30.70129 0.00551 -0.01250 11
-0.33139 14.70628 0.00818 0 1.68251 30.16500 0.00551 0.00330 11
